Date,Sum of User,Sum of Pageview,Sum of Session,Average of BounceRate,Sum of UniquePageview,Average of ExitRate,Sum of OrganicSearch,Sum of Conversions,Y variable,Average of Session dur,Average of Time on page,Month,Year,Day,Day of Week,(direct),(not set),Adroll,Amazon,amoselectric.com/electricity-service/residential-electricity-service/,Baidu,Bing,Chariot-Energy,Choozle,Duckduckgo,Facebook,GMB,Google,Googleads,HC360,Nextdoor,Others,Powertochoose,Realtor,Yahoo,Youtube,Zillow-group
1-Jun,15,16,4,11.53846154,15,19.23076923,1,0,0,61.61538462,63.53846154,Jun,2019,1,Sat,4,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
2-Jun,23,41,10,20.71428571,23,26.2755102,1,0,0,212.7142857,185.0095238,Jun,2019,2,Sun,20,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3-Jun,370,569,142,7.323702867,408,28.68026188,23,2,0,309.6666667,281.8660573,Jun,2019,3,Mon,112,0,0,3,0,0,2,0,0,0,11,0,55,0,0,0,3,181,0,3,0,0
4-Jun,588,817,215,10.22104601,648,31.31390059,39,3,0,282.4894737,263.9013592,Jun,2019,4,Tue,192,0,0,3,0,0,4,0,0,0,2,0,128,0,0,0,3,254,0,2,0,0
5-Jun,396,530,170,10.42693377,436,36.72689138,26,2,0,237.1049724,254.6706531,Jun,2019,5,Wed,120,0,0,0,0,0,0,0,1,0,35,0,119,0,0,0,1,117,0,3,0,0
6-Jun,864,1216,342,9.053513343,947,33.34653808,57,6,0,369.4425676,351.0943136,Jun,2019,6,Thu,203,0,0,10,0,0,13,0,0,1,3,0,166,0,0,1,7,455,0,5,0,0
7-Jun,1569,2228,830,45.14699646,1648,55.88640868,43,6,0,162.7329114,157.75229,Jun,2019,7,Fri,172,0,0,18,0,0,17,0,0,0,366,0,172,192,0,0,17,602,0,10,0,3
8-Jun,2483,2992,1986,29.78391096,2642,46.87520684,11,3,0,195.9845361,466.2842943,Jun,2019,8,Sat,67,0,0,0,0,0,0,0,0,0,103,0,160,1900,0,0,5,236,0,12,0,0
9-Jun,3011,3749,2517,22.85788136,3228,42.34080332,12,3,0,235.9430894,641.4670153,Jun,2019,9,Sun,63,0,0,1,0,0,8,0,0,2,61,0,517,2127,0,0,1,225,0,6,0,0
10-Jun,2389,3117,1590,19.2582307,2570,40.98581402,39,4,0,361.2173913,501.1547196,Jun,2019,10,Mon,390,0,0,0,0,0,10,0,28,1,87,0,348,987,0,0,7,500,0,28,0,3
11-Jun,1383,1991,653,16.6798161,1480,38.48509609,49,5,0,333.256917,301.9684611,Jun,2019,11,Tue,292,0,0,1,0,0,17,0,27,5,76,0,170,288,0,35,13,427,0,29,0,3
12-Jun,2679,3675,1515,17.24629743,2846,37.74966586,61,6,0,340.6590258,341.2191161,Jun,2019,12,Wed,289,0,0,18,0,0,38,0,407,7,73,0,390,397,0,361,20,616,7,5,0,51
